# bloodmallet secondary-stat sims | targets column = castingpatchwerk/-3/-5 profile | simmed 2026-08-26 02:39 | SimC 02b39ce | tier MID2
# fetched 2026-08-27 by fetch-secondary-sims.sh
# columns: class	spec	targets	rank	crit_haste_mastery_vers	dps  (% of the secondary budget; rank 0 = budget:<rating> with the grid-worst dps for range)
death_knight	blood	1	0	budget:3047	104310
death_knight	blood	1	1	40_40_10_10	117262
death_knight	blood	1	2	30_40_20_10	116877
death_knight	blood	1	3	30_50_10_10	116872
death_knight	blood	1	4	30_40_10_20	116700
death_knight	blood	1	5	40_30_20_10	116621
death_knight	blood	1	6	40_30_10_20	116597
death_knight	blood	1	7	30_30_20_20	116169
death_knight	blood	1	8	50_30_10_10	116024
death_knight	blood	1	9	20_50_20_10	115871
death_knight	blood	1	10	20_60_10_10	115858
death_knight	blood	1	11	30_30_30_10	115854
death_knight	blood	1	12	30_30_10_30	115698
death_knight	blood	1	13	20_50_10_20	115687
death_knight	blood	1	14	20_40_20_20	115672
death_knight	blood	1	15	20_40_30_10	115497
death_knight	blood	3	0	budget:3047	196203
death_knight	blood	3	1	40_40_10_10	222569
death_knight	blood	3	2	30_40_20_10	221975
death_knight	blood	3	3	30_40_10_20	221634
death_knight	blood	3	4	30_50_10_10	221292
death_knight	blood	3	5	20_40_20_20	220466
death_knight	blood	3	6	40_30_20_10	220280
death_knight	blood	3	7	40_30_10_20	220131
death_knight	blood	3	8	20_40_30_10	220128
death_knight	blood	3	9	20_50_20_10	219750
death_knight	blood	3	10	20_50_10_20	219706
death_knight	blood	3	11	20_60_10_10	219526
death_knight	blood	3	12	30_30_20_20	219479
death_knight	blood	3	13	20_40_10_30	219314
death_knight	blood	3	14	50_30_10_10	219253
death_knight	blood	3	15	30_30_30_10	219022
death_knight	blood	5	0	budget:3047	289771
death_knight	blood	5	1	30_40_20_10	326772
death_knight	blood	5	2	40_40_10_10	326742
death_knight	blood	5	3	30_40_10_20	326287
death_knight	blood	5	4	30_50_10_10	326230
death_knight	blood	5	5	20_50_20_10	325106
death_knight	blood	5	6	20_40_20_20	324579
death_knight	blood	5	7	20_60_10_10	324165
death_knight	blood	5	8	20_40_30_10	323982
death_knight	blood	5	9	20_50_10_20	323831
death_knight	blood	5	10	40_30_20_10	323818
death_knight	blood	5	11	20_40_10_30	323184
