# bloodmallet trinket sims | fight_style=castingpatchwerk3 | simmed 2026-08-26 02:57 | SimC 02b39ce | tier MID2
# fetched 2026-08-27 by fetch-trinket-sims.sh
# columns: class	spec	rank	trinket	item_id	ilvl:dps,... (rank 0 = passive baseline, min ilvl only)
death_knight	blood	0	baseline	-	292:186946
death_knight	blood	1	Zul'jin's Guillotine Technique	270173	292:201786,295:202616,305:204113,315:206213,321:207032,331:209644,344:212331
death_knight	blood	2	Voracious Heart of Ula'tek	270175	292:201799,295:202299,305:203772,315:205173,321:206046,331:207955,344:210138
death_knight	blood	3	Merektha's Fang	158367	292:197683,295:198574,302:199569,308:200867,315:202516,321:204250,328:206130,334:207464
death_knight	blood	4	Keeper's Seething Core	270165	292:200823,295:201206,302:201547,308:202362,315:203028,321:203664,328:204799,334:205702
death_knight	blood	5	Tumor of the Swarm	250245	292:197411,295:197638,302:198630,308:199371,315:200369,321:201440,328:202717,334:203519
death_knight	blood	6	Vile Vial of Volatile Venom	273796	292:198564,295:198754,302:199684,308:200144,315:200907,321:201576,328:202245,334:203322
death_knight	blood	7	Gebbo's Bottomless Bag	270164	292:198833,295:199310,302:199756,308:200436,315:201128,321:201770,328:202734,334:203237
death_knight	blood	8	Darkmoon Dominion: Hunt	246304	292:199187,298:199408,305:200364,311:200743,318:201384,324:202033,331:202898
death_knight	blood	9	Tattered Amani War Banner	273797	292:198511,295:198758,302:199454,308:199855,315:200593,321:201098,328:201876,334:202642
death_knight	blood	10	Darkmoon Dominion: Blood	246305	292:198478,298:198908,305:199329,311:200397,318:200749,324:201635,331:202473
death_knight	blood	11	Thalassian Competitor's Insignia of Alacrity	245752	292:198524,298:198965,305:199630,311:200147,318:201105,324:201403,331:202351
death_knight	blood	12	Seed of the Devouring Wild	250238	292:197429,295:197688,302:198233,308:198769,315:199642,321:200448,328:201373,334:202041
death_knight	blood	13	Light Company Guidon	249344	298:201879
death_knight	blood	14	Blazebinder's Hoof	193762	292:197899,295:198170,302:198397,308:199145,315:200238,321:200526,328:201159,334:201692
death_knight	blood	15	Darkmoon Dominion: Void	246307	292:197858,298:198130,305:198705,311:199532,318:200238,324:200868,331:201539
death_knight	blood	16	Magister's Alchemist Stone	241340	292:198051,298:198284,305:198782,311:199525,318:200126,324:200773,331:201303
death_knight	blood	17	Resonant Bellowstone	250228	292:197188,295:197524,302:197897,308:198561,315:198986,321:199417,328:200611,334:200939
death_knight	blood	18	Venomous Gladiator's Insignia of Alacrity	270603	315:200749
death_knight	blood	19	Ruby Whelp Shell [Haste]	193757	292:196763,295:196887,302:197385,308:198153,315:198460,321:199188,328:199707,334:200316
death_knight	blood	20	Sapling of the Dawnroot	250259	292:195281,295:195552,302:196207,308:196990,315:197647,321:198222,328:199456,334:200225
death_knight	blood	21	Umbral Plume	260235	298:200215
death_knight	blood	22	Radiant Plume	249806	298:199989
death_knight	blood	23	Ruby Whelp Shell [Crit]	193757	292:196296,295:196250,302:196807,308:197451,315:197997,321:198603,328:199103,334:199862
death_knight	blood	24	Heart of Wind	250256	298:199848
death_knight	blood	25	Idol of the War Loa	250229	292:197773,295:197970,302:198205,308:198657,315:199099,321:199265,328:199696,334:199824
death_knight	blood	26	Algeth'ar Puzzle Box	193701	298:199737
death_knight	blood	27	Heart of Ancient Hunger	249342	298:199532
death_knight	blood	28	Font of Venomous Rage	270168	292:194284,295:194495,305:195583,315:196410,321:196857,331:197918,344:199449
death_knight	blood	29	Gaze of the Alnseer	249343	298:199249
death_knight	blood	30	Ruby Whelp Shell [Aoe]	193757	292:195063,295:195394,302:196089,308:196617,315:197232,321:197663,328:198714,334:199157
death_knight	blood	31	Venomous Gladiator's Badge of Ferocity	270602	315:198903
death_knight	blood	32	Ruby Whelp Shell [St]	193757	292:194772,295:195055,302:195555,308:196153,315:196897,321:197310,328:198285,334:198799
